"time","hp1.Pelec","hp2.Pelec","hP_with_boiler.Pelec"
103.5,22.8737,49.4003,13.5551
104,22.721,49.4003,13.5551
104,22.721,49.4003,13.8643
104,22.721,49.42,14.1792
104.5,22.6172,49.42,14.1792
105,22.5153,49.42,14.1792
105,22.5153,49.42,14.7842
105,22.5153,49.4394,15.4113
105.5,22.4298,49.4394,15.4113
106,22.3449,49.4394,15.4113
106,22.3449,49.4394,15.8017
106,22.3449,49.4585,16.1911
106.5,22.1947,49.4585,16.1911
107,22.0419,49.4585,16.1911
107,22.0419,49.4585,19.4366
107,22.0419,49.4775,23.1963
107.5,21.9871,49.4775,23.1963
108,21.9362,49.4775,23.1963
108,21.9362,49.4775,23.2831
108,21.9362,49.4962,23.2115
108.5,22.3753,49.4962,23.2115
109,22.8337,49.4962,23.2115
109,22.8337,49.4962,23.4157
109,22.8337,49.5147,23.6323
109.5,22.4589,49.5147,23.6323
110,22.0515,49.5147,23.6323
110,22.0515,49.5147,23.5713
110,22.0515,49.5328,23.4992
110.5,21.7747,49.5328,23.4992
111,21.5031,49.5309,23.4992
111,21.5031,49.5309,23.6352
111,21.5031,49.5309,23.7804
111.5,21.4765,49.5328,23.7804
112,21.4595,49.5328,23.7804
112,21.4595,49.5422,23.9965
112,21.4595,49.5422,24.2168
112.5,21.4425,49.5346,24.2168
113,21.4256,49.5346,24.2168
113,21.4256,49.5346,24.2257
113,21.4256,49.5346,24.2257
113.5,21.4903,49.0798,24.2257
114,21.5582,48.5947,24.2257
114,21.5582,48.5947,24.7958
114,21.5582,48.5947,25.3995
114.5,21.6751,47.6669,25.3995
115,21.7938,46.7202,25.3995
115,21.7938,46.7202,24.773
115,21.7938,46.7202,24.1051
115.5,21.9618,44.606,24.1051
116,22.1315,42.4827,24.1051
116,22.1315,42.4827,23.6581
116,22.1315,42.4827,23.2254
116.5,22.2687,41.0344,23.2254
117,22.4045,39.6606,23.2254
117,22.4045,39.6606,22.8663
117,22.4045,39.6606,22.5139
117.5,22.4096,37.4621,22.5139
118,22.4096,35.3021,22.5139
118,22.4096,35.3021,21.8986
118,22.4096,35.3021,21.2848
118.5,22.4259,36.287,21.2848
119,22.4428,37.4724,21.2848
119,22.4428,37.4724,21.0682
119,22.4428,37.4724,20.8677
119.5,24.4114,35.4946,20.8677
120,26.5778,33.417,20.8677
120,26.5778,33.417,22.6388
120,26.5778,33.417,24.5891
120.5,26.6923,32.4473,24.5891
121,26.7116,31.5522,24.5891
121,26.7116,31.5522,22.9895
121,26.7116,31.5522,21.3219
121.5,26.731,32.1863,21.3219
122,26.7503,32.9096,21.3219
122,26.7503,32.9096,20.2385
122,26.7503,32.9096,19.2115
122.5,26.7512,31.832,19.2115
123,26.7512,30.6871,19.2115
123,26.7512,30.6871,19.1168
123,26.7512,30.6871,19.0541
123.5,26.7697,30.14,19.0541
124,26.7891,29.6284,19.0541
124,26.7891,29.6284,18.9915
124,26.7891,29.6284,18.9292
124.5,26.8084,29.7663,18.9292
125,26.8278,29.9366,18.9292
125,26.8278,29.9366,19.1691
125,26.8278,29.9366,19.4216
125.5,26.8101,29.7823,19.4216
126,26.7909,29.6125,19.4216
126,26.7909,29.6125,19.8623
126,26.7909,29.6125,20.3164
126.5,26.8084,30.0099,20.3164
127,26.8276,30.4392,20.3164
127,26.8276,30.4392,20.9699
127,26.8276,30.4392,21.6447
127.5,26.8286,30.9558,21.6447
128,26.8286,31.4828,21.6447
128,26.8286,31.4828,22.2003
128,26.8286,31.4828,22.7602
128.5,26.8286,32.6143,22.7602
129,26.8286,33.806,22.7602
129,26.8286,33.806,22.7819
129,26.8286,33.806,22.7819
129.5,26.773,34.7584,22.7819
130,26.715,35.7149,22.7819
130,26.715,35.7149,22.8499
130,26.715,35.7149,22.9208
130.5,26.6939,35.8585,22.9208
131,26.6748,35.9555,22.9208
131,26.6748,35.9555,24.8843
131,26.6748,35.9555,27.0423
131.5,26.3774,31.1279,27.0423
132,26.0677,26.5363,27.0423
