"time","electrolyser_simple.Pelec","electrolyser_detailed1.Pelec"
163,48.0994,47.9647
163,48.0994,47.9647
163,48.0994,47.9647
163.25,48.1633,48.0211
163.5,48.2262,48.0772
163.75,48.2892,48.1338
164,48.3522,48.1908
164,48.3522,48.1908
164,48.3522,48.1908
164.25,48.3777,48.2113
164.5,48.4029,48.2323
164.75,48.4281,48.254
165,48.4533,48.276
165,48.4533,48.276
165,48.4533,48.276
165.25,48.491,48.3108
165.5,48.5288,48.3456
165.75,48.5666,48.3804
166,48.6043,48.415
166,48.6043,48.415
166,48.6043,48.415
166.25,48.6548,48.4623
166.5,48.7053,48.5093
166.75,48.7557,48.5562
167,48.8061,48.6028
167,48.8061,48.6028
167,48.8061,48.6028
167.25,48.5441,48.3425
167.5,48.2795,48.0849
167.75,48.0151,47.8313
168,47.7509,47.5805
168,47.7509,47.5805
168,47.7509,47.5805
168.25,47.7361,47.5769
168.5,47.7236,47.5727
168.75,47.711,47.5664
169,47.6984,47.5589
169,47.6984,47.5589
169,47.6984,47.5589
169.25,47.6734,47.5375
169.5,47.6482,47.5157
169.75,47.6231,47.4936
170,47.5981,47.4715
170,47.5981,47.4715
170,47.5981,47.4715
170.25,47.6227,47.4975
170.5,47.6478,47.5233
170.75,47.6729,47.5485
171,47.698,47.573
171,47.698,47.573
171,47.698,47.573
171.25,47.7357,47.6095
171.5,47.7734,47.6456
171.75,47.8111,47.6814
172,47.8486,47.7168
172,47.8486,47.7168
172,47.8486,47.7168
172.25,47.8741,47.7399
172.5,47.8993,47.7629
172.75,47.9245,47.7859
173,47.9496,47.809
173,47.9496,47.809
173,47.9496,47.809
173.25,47.9249,47.7831
173.5,47.8997,47.7575
173.75,47.8746,47.7327
174,47.8495,47.7083
174,47.8495,47.7083
174,47.8495,47.7083
174.25,47.9614,47.8193
174.5,48.0747,47.9294
174.75,48.188,48.0379
175,48.3013,48.1452
175,48.3013,48.1452
175,48.3013,48.1452
175.25,48.3148,48.1535
175.5,48.3274,48.1621
175.75,48.34,48.1715
176,48.3526,48.1815
176,48.3526,48.1815
176,48.3526,48.1815
176.25,48.2404,48.0693
176.5,48.127,47.9584
176.75,48.0137,47.8493
177,47.9005,47.7421
177,47.9005,47.7421
177,47.9005,47.7421
177.25,47.9245,47.7697
177.5,47.9496,47.7974
177.75,47.9748,47.8238
178,47.9999,47.8493
178,47.9999,47.8493
178,47.9999,47.8493
178.25,47.9752,47.8251
178.5,47.9501,47.8009
178.75,47.9249,47.7769
179,47.8998,47.7531
179,47.8998,47.7531
179,47.8998,47.7531
179.25,47.8746,47.7295
179.5,47.8494,47.706
179.75,47.8243,47.6826
180,47.7993,47.6592
180,47.7993,47.6592
180,47.7993,47.6592
180.25,47.7615,47.6236
