,time,modelA,modelB,modelC
515,5150,3.988661175,3.922141909,3.990666083
516,5160,3.988661175,3.922141909,3.990666083
517,5170,3.988661175,3.922141909,3.990666083
518,5180,3.988661175,3.922141909,3.990666083
519,5190,3.988661175,3.922141909,3.990666083
520,5200,3.988661175,3.922141909,3.990666083
521,5210,3.988661175,3.922141909,3.990666083
522,5220,3.988661175,3.922141909,3.990666083
523,5230,3.988661175,3.922141909,3.990666083
524,5240,3.988661175,3.922141909,3.990666083
525,5250,3.988661175,3.922141909,3.990666083
526,5260,3.988661175,3.922141909,3.990666083
527,5270,3.988661175,3.922141909,3.990666083
528,5280,3.988661175,3.922141909,3.990666083
529,5290,3.988661175,3.922141909,3.990666083
530,5300,3.988661175,3.922141909,3.990666083
531,5310,3.988661175,3.922141909,3.990666083
532,5320,3.988661175,3.922141909,3.990666083
533,5330,3.988661175,3.922141909,3.990666083
534,5340,3.988661175,3.922141909,3.990666083
535,5350,3.988661175,3.922141909,3.990666083
536,5360,3.988661175,3.922141909,3.990666083
537,5370,3.988661175,3.922141909,3.990666083
538,5380,3.988661175,3.922141909,3.990666083
539,5390,3.988661175,3.922141909,3.990666083
540,5400,3.981217627,3.920649685,3.978245386
541,5410,3.981217627,3.920649685,3.978245386
542,5420,3.981217627,3.920649685,3.978245386
543,5430,3.981217627,3.920649685,3.978245386
544,5440,3.981217627,3.920649685,3.978245386
545,5450,3.981217627,3.920649685,3.978245386
546,5460,3.981217627,3.920649685,3.978245386
547,5470,3.981217627,3.920649685,3.978245386
548,5480,3.981217627,3.920649685,3.978245386
549,5490,3.981217627,3.920649685,3.978245386
550,5500,3.981217627,3.920649685,3.978245386
551,5510,3.981217627,3.920649685,3.978245386
552,5520,3.981217627,3.920649685,3.978245386
553,5530,3.981217627,3.920649685,3.978245386
554,5540,3.981217627,3.920649685,3.978245386
555,5550,3.981217627,3.920649685,3.978245386
556,5560,3.981217627,3.920649685,3.978245386
557,5570,3.981217627,3.920649685,3.978245386
558,5580,3.981217627,3.920649685,3.978245386
559,5590,3.981217627,3.920649685,3.978245386
560,5600,3.981217627,3.920649685,3.978245386
561,5610,3.981217627,3.920649685,3.978245386
562,5620,3.981217627,3.920649685,3.978245386
563,5630,3.981217627,3.920649685,3.978245386
564,5640,3.981217627,3.920649685,3.978245386
565,5650,3.981217627,3.920649685,3.978245386
566,5660,3.981217627,3.920649685,3.978245386
567,5670,3.981217627,3.920649685,3.978245386
568,5680,3.981217627,3.920649685,3.978245386
569,5690,3.981217627,3.920649685,3.978245386
570,5700,3.981217627,3.920649685,3.978245386
571,5710,3.981217627,3.920649685,3.978245386
572,5720,3.981217627,3.920649685,3.978245386
573,5730,3.981217627,3.920649685,3.978245386
574,5740,3.981217627,3.920649685,3.978245386
575,5750,3.981217627,3.920649685,3.978245386
576,5760,3.981217627,3.920649685,3.978245386
577,5770,3.981217627,3.920649685,3.978245386
578,5780,3.981217627,3.920649685,3.978245386
579,5790,3.981217627,3.920649685,3.978245386
580,5800,3.981217627,3.920649685,3.978245386
581,5810,3.981217627,3.920649685,3.978245386
582,5820,3.981217627,3.920649685,3.978245386
583,5830,3.981217627,3.920649685,3.978245386
584,5840,3.981217627,3.920649685,3.978245386
585,5850,3.981217627,3.920649685,3.978245386
586,5860,3.981217627,3.920649685,3.978245386
587,5870,3.981217627,3.920649685,3.978245386
588,5880,3.981217627,3.920649685,3.978245386
589,5890,3.981217627,3.920649685,3.978245386
590,5900,3.981217627,3.920649685,3.978245386
591,5910,3.981217627,3.920649685,3.978245386
592,5920,3.981217627,3.920649685,3.978245386
593,5930,3.981217627,3.920649685,3.978245386
594,5940,3.981217627,3.920649685,3.978245386
595,5950,3.981217627,3.920649685,3.978245386
596,5960,3.981217627,3.920649685,3.978245386
597,5970,3.981217627,3.920649685,3.978245386
598,5980,3.981217627,3.920649685,3.978245386
599,5990,3.981217627,3.920649685,3.978245386
600,6000,3.981217627,3.920649685,3.978245386
601,6010,3.981217627,3.920649685,3.978245386
