"time","hp2.Pelec"
157.5,41.6016
157.75,41.5477
158,41.4939
158,41.4939
158,41.4939
158.25,41.6295
158.5,41.7916
158.75,41.9542
159,42.1171
159,42.1171
159,42.1171
159.25,42.0414
159.5,41.9328
159.75,41.8244
160,41.7162
160,41.7162
160,41.7162
160.25,41.4659
160.5,41.1973
160.75,40.93
161,40.6639
161,40.6639
161,40.6639
161.25,40.4457
161.5,40.2345
161.75,40.0242
162,39.8147
162,39.8147
162,39.8147
162.25,40.3926
162.5,41.0822
162.75,41.7803
163,42.4869
163,42.4869
163,42.4869
163.25,42.8151
163.5,43.0911
163.75,43.3682
164,43.6465
164,43.6465
164,43.6465
164.25,43.7794
164.5,43.8914
164.75,44.0037
165,44.1158
165,44.1158
165,44.1158
165.25,44.278
165.5,44.4475
165.75,44.6175
166,44.7878
166,44.7878
166,44.7878
166.25,45.0086
166.5,45.2373
166.75,45.4669
167,45.6973
167,45.6973
167,45.6973
167.25,44.6773
167.5,43.493
167.75,42.3317
168,41.193
168,41.193
168,41.193
168.25,41.0113
168.5,40.9579
168.75,40.9046
169,40.8513
169,40.8513
169,40.8513
169.25,40.7512
169.5,40.645
169.75,40.539
170,40.4332
170,40.4332
170,40.4332
170.25,40.5139
170.5,40.6199
170.75,40.726
171,40.832
171,40.832
171,40.832
171.25,40.9858
171.5,41.146
171.75,41.3068
172,41.4679
172,41.4679
172,41.4679
172.25,41.5821
172.5,41.69
172.75,41.7982
173,41.9065
173,41.9065
173,41.9065
173.25,41.8244
173.5,41.7162
173.75,41.6081
174,41.5005
174,41.5005
174,41.5005
174.25,41.9147
174.5,42.4044
174.75,42.8982
175,43.3961
175,43.3961
175,43.3961
175.25,43.5072
175.5,43.5629
175.75,43.6187
176,43.6746
176,43.6746
176,43.6746
176.25,43.2427
176.5,42.745
176.75,42.2514
177,41.762
177,41.762
177,41.762
177.25,41.7982
177.5,41.9065
177.75,42.015
178,42.1237
178,42.1237
178,42.1237
178.25,42.0414
178.5,41.9328
178.75,41.8244
179,41.7163
179,41.7163
179,41.7163
179.25,41.6081
179.5,41.5003
179.75,41.3927
180,41.2853
180,41.2853
180,41.2853
180.25,41.1309
180.5,40.9706
180.75,40.8107
181,40.6513
181,40.6513
181,40.6513
181.25,40.6324
181.5,40.6324
181.75,40.6324
182,40.6324
182,40.6324
182,40.6324
182.25,40.5857
182.5,40.5327
182.75,40.4798
183,40.4271
183,40.4271
183,40.4271
183.25,40.654
183.5,40.9198
