time,electrolyser_detailed1.electrochemical.Top,modelA
154,335.638,333.15
154.25,335.581,333.15
154.5,335.54,333.15
154.75,335.51,333.15
155,335.489,333.15
155,335.489,333.15
155,335.489,333.15
155.25,335.473,333.15
155.5,335.462,333.15
155.75,335.455,333.15
156,335.449,333.15
156,335.449,333.15
156,335.449,333.15
156.25,335.455,333.15
156.5,335.477,333.15
156.75,335.512,333.15
157,335.556,333.15
157,335.556,333.15
157,335.556,333.15
157.25,335.593,333.15
157.5,335.616,333.15
157.75,335.628,333.15
158,335.632,333.15
158,335.632,333.15
158,335.632,333.15
158.25,335.64,333.15
158.5,335.659,333.15
158.75,335.686,333.15
159,335.72,333.15
159,335.72,333.15
159,335.72,333.15
159.25,335.746,333.15
159.5,335.756,333.15
159.75,335.754,333.15
160,335.743,333.15
160,335.743,333.15
160,335.743,333.15
160.25,335.718,333.15
160.5,335.678,333.15
160.75,335.626,333.15
161,335.565,333.15
161,335.565,333.15
161,335.565,333.15
161.25,335.5,333.15
161.5,335.435,333.15
161.75,335.37,333.15
162,335.304,333.15
162,335.304,333.15
162,335.304,333.15
162.25,335.28,333.15
162.5,335.322,333.15
162.75,335.413,333.15
163,335.539,333.15
163,335.539,333.15
163,335.539,333.15
163.25,335.67,333.15
163.5,335.789,333.15
163.75,335.897,333.15
164,335.998,333.15
164,335.998,333.15
164,335.998,333.15
164.25,336.086,333.15
164.5,336.159,333.15
164.75,336.221,333.15
165,336.274,333.15
165,336.274,333.15
165,336.274,333.15
165.25,336.324,333.15
165.5,336.373,333.15
165.75,336.423,333.15
166,336.473,333.15
166,336.473,333.15
166,336.473,333.15
166.25,336.525,333.15
166.5,336.581,333.15
166.75,336.639,333.15
167,336.7,333.15
167,336.7,333.15
167,336.7,333.15
167.25,336.702,333.15
167.5,336.606,333.15
167.75,336.439,333.15
168,336.223,333.15
168,336.223,333.15
168,336.223,333.15
168.25,336.019,333.15
168.5,335.867,333.15
168.75,335.752,333.15
169,335.665,333.15
169,335.665,333.15
169,335.665,333.15
169.25,335.596,333.15
169.5,335.537,333.15
169.75,335.485,333.15
170,335.438,333.15
170,335.438,333.15
170,335.438,333.15
170.25,335.405,333.15
170.5,335.39,333.15
170.75,335.389,333.15
171,335.397,333.15
171,335.397,333.15
171,335.397,333.15
171.25,335.415,333.15
171.5,335.442,333.15
171.75,335.475,333.15
172,335.512,333.15
172,335.512,333.15
172,335.512,333.15
172.25,335.551,333.15
172.5,335.588,333.15
172.75,335.624,333.15
173,335.659,333.15
173,335.659,333.15
173,335.659,333.15
173.25,335.684,333.15
173.5,335.693,333.15
173.75,335.69,333.15
174,335.679,333.15
174,335.679,333.15
174,335.679,333.15
174.25,335.687,333.15
174.5,335.735,333.15
174.75,335.811,333.15
175,335.908,333.15
175,335.908,333.15
175,335.908,333.15
175.25,336.001,333.15
175.5,336.072,333.15
175.75,336.128,333.15
176,336.172,333.15
176,336.172,333.15
176,336.172,333.15
176.25,336.185,333.15
176.5,336.152,333.15
176.75,336.086,333.15
177,335.998,333.15
177,335.998,333.15
177,335.998,333.15
177.25,335.919,333.15
177.5,335.87,333.15
177.75,335.845,333.15
178,335.837,333.15
178,335.837,333.15
178,335.837,333.15
178.25,335.83,333.15
178.5,335.816,333.15
178.75,335.797,333.15
179,335.774,333.15
179,335.774,333.15
179,335.774,333.15
179.25,335.748,333.15
179.5,335.72,333.15
179.75,335.69,333.15
180,335.66,333.15
180,335.66,333.15
180,335.66,333.15
180.25,335.626,333.15
180.5,335.589,333.15
180.75,335.548,333.15
181,335.504,333.15
181,335.504,333.15
181,335.504,333.15
181.25,335.467,333.15
181.5,335.439,333.15
181.75,335.419,333.15
182,335.405,333.15
182,335.405,333.15
182,335.405,333.15
182.25,335.392,333.15
182.5,335.378,333.15
182.75,335.364,333.15
183,335.349,333.15
183,335.349,333.15
183,335.349,333.15
183.25,335.349,333.15
183.5,335.371,333.15
183.75,335.41,333.15
184,335.461,333.15
184,335.461,333.15
184,335.461,333.15
184.25,335.508,333.15
184.5,335.543,333.15
184.75,335.569,333.15
185,335.587,333.15
185,335.587,333.15
185,335.587,333.15
185.25,335.605,333.15
185.5,335.627,333.15
185.75,335.652,333.15
186,335.679,333.15
186,335.679,333.15
186,335.679,333.15
186.25,335.706,333.15
186.5,335.729,333.15
186.75,335.751,333.15
187,335.772,333.15
187,335.772,333.15
187,335.772,333.15
187.25,335.778,333.15
187.5,335.765,333.15
187.75,335.737,333.15
188,335.699,333.15
188,335.699,333.15
188,335.699,333.15
188.25,335.649,333.15
188.5,335.591,333.15
188.75,335.526,333.15
189,335.456,333.15
189,335.456,333.15
189,335.456,333.15
189.25,335.405,333.15
189.5,335.385,333.15
189.75,335.39,333.15
190,335.412,333.15
190,335.412,333.15
190,335.412,333.15
190.25,335.452,333.15
190.5,335.508,333.15
190.75,335.576,333.15
191,335.653,333.15
191,335.653,333.15
