"time","electrolyser_simple.electrochemical_simple.efficiency2","electrolyser_detailed1.electrochemical.efficiency2"
94.5,0.71585,0.709148
94.75,0.715726,0.709039
95,0.715602,0.708951
95,0.715602,0.708951
95,0.715602,0.708951
95.25,0.714622,0.70806
95.5,0.713639,0.707343
95.75,0.71266,0.706767
96,0.711687,0.7063
96,0.711687,0.7063
96,0.711687,0.7063
96.25,0.711695,0.706822
96.5,0.711712,0.707207
96.75,0.71173,0.707488
97,0.711747,0.707694
97,0.711747,0.707694
97,0.711747,0.707694
97.25,0.711696,0.70778
97.5,0.711644,0.707841
97.75,0.711591,0.707883
98,0.71154,0.70791
98,0.71154,0.70791
98,0.71154,0.70791
98.25,0.711556,0.707989
98.5,0.711574,0.70805
98.75,0.711591,0.708095
99,0.711608,0.708128
99,0.711608,0.708128
99,0.711608,0.708128
99.25,0.711574,0.708107
99.5,0.711539,0.708089
99.75,0.711505,0.708074
100,0.71147,0.70806
100,0.71147,0.70806
100,0.71147,0.70806
100.25,0.711418,0.708033
100.5,0.711366,0.708009
100.75,0.711314,0.707989
101,0.711262,0.707971
101,0.711262,0.707971
101,0.711262,0.707971
101.25,0.711262,0.708001
101.5,0.711262,0.708024
101.75,0.711262,0.708042
102,0.711262,0.708054
102,0.711262,0.708054
102,0.711262,0.708054
102.25,0.711124,0.707938
102.5,0.710986,0.707843
102.75,0.710848,0.707766
103,0.710709,0.707702
103,0.710709,0.707702
103,0.710709,0.707702
103.25,0.710862,0.707913
103.5,0.711018,0.708078
103.75,0.711174,0.708209
104,0.71133,0.708314
104,0.71133,0.708314
104,0.71133,0.708314
104.25,0.711434,0.708353
104.5,0.711538,0.708389
104.75,0.711642,0.708421
105,0.711746,0.708451
105,0.711746,0.708451
105,0.711746,0.708451
105.25,0.711833,0.708464
105.5,0.71192,0.708478
105.75,0.712007,0.708494
106,0.712094,0.708511
106,0.712094,0.708511
106,0.712094,0.708511
106.25,0.71225,0.708592
106.5,0.712407,0.708663
106.75,0.712563,0.708725
107,0.71272,0.708781
107,0.71272,0.708781
107,0.71272,0.708781
107.25,0.712773,0.708736
107.5,0.712826,0.708704
107.75,0.712878,0.708684
108,0.71293,0.708673
108,0.71293,0.708673
108,0.71293,0.708673
108.25,0.712464,0.708186
108.5,0.711994,0.707796
108.75,0.711526,0.707485
109,0.711058,0.707233
109,0.711058,0.707233
109,0.711058,0.707233
109.25,0.711466,0.707828
109.5,0.711883,0.708294
109.75,0.7123,0.708662
110,0.712718,0.70896
110,0.712718,0.70896
110,0.712718,0.70896
110.25,0.712998,0.709077
110.5,0.713278,0.709183
110.75,0.713558,0.709279
111,0.713838,0.709369
111,0.713838,0.709369
111,0.713838,0.709369
111.25,0.713858,0.70921
111.5,0.713875,0.70909
111.75,0.713893,0.709003
112,0.71391,0.70894
112,0.71391,0.70894
112,0.71391,0.70894
112.25,0.713928,0.708895
112.5,0.713946,0.708862
112.75,0.713963,0.708839
113,0.713981,0.708823
113,0.713981,0.708823
113,0.713981,0.708823
113.25,0.713911,0.708732
113.5,0.713841,0.708658
113.75,0.713771,0.708599
114,0.713701,0.708552
114,0.713701,0.708552
114,0.713701,0.708552
114.25,0.713579,0.708464
114.5,0.713456,0.708391
114.75,0.713334,0.708329
115,0.713211,0.708277
115,0.713211,0.708277
115,0.713211,0.708277
115.25,0.713037,0.708183
115.5,0.712863,0.708102
115.75,0.712688,0.708033
116,0.712514,0.707972
116,0.712514,0.707972
116,0.712514,0.707972
116.25,0.712374,0.707949
116.5,0.712235,0.707924
116.75,0.712096,0.707897
117,0.711957,0.70787
117,0.711957,0.70787
117,0.711957,0.70787
117.25,0.711956,0.707969
117.5,0.711956,0.708043
117.75,0.711956,0.708097
118,0.711956,0.708136
118,0.711956,0.708136
118,0.711956,0.708136
118.25,0.711938,0.708149
118.5,0.711921,0.708157
118.75,0.711904,0.708163
119,0.711886,0.708165
119,0.711886,0.708165
119,0.711886,0.708165
119.25,0.711404,0.707738
119.5,0.71092,0.707395
119.75,0.710436,0.707119
120,0.709954,0.706893
120,0.709954,0.706893
120,0.709954,0.706893
120.25,0.709932,0.707122
120.5,0.709915,0.70729
120.75,0.709898,0.707412
121,0.709881,0.707499
121,0.709881,0.707499
121,0.709881,0.707499
121.25,0.709863,0.707561
121.5,0.709846,0.707606
121.75,0.709829,0.707637
122,0.709812,0.707659
122,0.709812,0.707659
122,0.709812,0.707659
122.25,0.709812,0.707689
122.5,0.709812,0.707712
122.75,0.709812,0.707728
123,0.709812,0.70774
123,0.709812,0.70774
123,0.709812,0.70774
123.25,0.709795,0.707733
123.5,0.709777,0.707727
123.75,0.70976,0.707722
124,0.709743,0.707717
124,0.709743,0.707717
124,0.709743,0.707717
124.25,0.709726,0.707712
124.5,0.709709,0.707708
124.75,0.709691,0.707704
125,0.709674,0.7077
125,0.709674,0.7077
125,0.709674,0.7077
125.25,0.709691,0.707726
125.5,0.709708,0.707747
125.75,0.709726,0.707763
126,0.709743,0.707776
126,0.709743,0.707776
126,0.709743,0.707776
126.25,0.709726,0.707756
126.5,0.709709,0.70774
126.75,0.709691,0.707727
127,0.709674,0.707716
127,0.709674,0.707716
127,0.709674,0.707716
127.25,0.709674,0.707723
127.5,0.709674,0.707728
127.75,0.709674,0.707732
128,0.709674,0.707734
