"time","hp2.COP"
62.5,4.77133
63,4.84259
63,4.84259
63,4.84259
63.5,4.8761
64,4.91
64,4.91
64,4.91
64.5,4.89865
65,4.88735
65,4.88735
65,4.88735
65.5,4.89865
66,4.91
66,4.91
66,4.91
66.5,4.88172
67,4.85372
67,4.85372
67,4.85372
67.5,4.82047
68,4.78762
68,4.78762
68,4.78762
68.5,4.71772
69,4.64952
69,4.64952
69,4.64952
69.5,4.59816
70,4.54774
70,4.54774
70,4.54774
70.5,4.54274
71,4.53776
71,4.53776
71,4.53776
71.5,4.82599
72,5.14694
72,5.14694
72,5.14694
72.5,5.17174
73,5.19676
73,5.19676
73,5.19676
73.5,5.17174
74,5.14694
74,5.14694
74,5.14694
74.5,5.11013
75,5.07378
75,5.07378
75,5.07378
75.5,5.04384
76,5.0142
76,5.0142
76,5.0142
76.5,4.98487
77,4.95584
77,4.95584
77,4.95584
77.5,4.95007
78,4.94431
78,4.94431
78,4.94431
78.5,5.02602
79,5.11013
79,5.11013
79,5.11013
79.5,5.20304
80,5.29903
80,5.29903
80,5.29903
80.5,5.43892
81,5.58571
81,5.58571
81,5.58571
81.5,5.7551
82,5.9343
82,5.9343
82,5.9343
82.5,6.11574
83,6.30785
83,6.30785
83,6.30785
83.5,6.2104
84,6.11574
84,6.11574
84,6.11574
84.5,6.0736
85,6.032
85,6.032
85,6.032
85.5,6.14984
86,6.27208
86,6.27208
86,6.27208
86.5,6.25434
87,6.2367
87,6.2367
87,6.2367
87.5,6.62793
88,7.06732
88,7.06732
88,7.06732
88.5,7.1232
89,7.17989
89,7.17989
89,7.17989
89.5,7.16849
90,7.15712
90,7.15712
90,7.15712
90.5,7.06732
91,6.97955
91,6.97955
91,6.97955
91.5,6.91503
92,6.8516
92,6.8516
92,6.8516
92.5,6.76867
93,6.68758
93,6.68758
93,6.68758
93.5,6.5403
94,6.39895
94,6.39895
94,6.39895
94.5,6.33492
95,6.27208
95,6.27208
95,6.27208
95.5,5.80856
96,5.40501
96,5.40501
96,5.40501
96.5,5.41176
97,5.41853
97,5.41853
97,5.41853
97.5,5.39827
98,5.37816
98,5.37816
98,5.37816
98.5,5.38485
99,5.39155
99,5.39155
99,5.39155
99.5,5.37816
100,5.36482
100,5.36482
100,5.36482
100.5,5.34493
101,5.32517
101,5.32517
101,5.32517
101.5,5.32517
102,5.32517
102,5.32517
102,5.32517
102.5,5.27313
103,5.22199
103,5.22199
103,5.22199
103.5,5.27958
104,5.33833
104,5.33833
104,5.33833
104.5,5.37816
105,5.41853
105,5.41853
105,5.41853
105.5,5.45259
106,5.48706
106,5.48706
106,5.48706
106.5,5.55011
107,5.6145
107,5.6145
107,5.6145
107.5,5.63628
108,5.65821
108,5.65821
108,5.65821
108.5,5.46633
109,5.28605
109,5.28605
109,5.28605
109.5,5.44575
110,5.6145
110,5.6145
110,5.6145
110.5,5.73247
111,5.85512
111,5.85512
111,5.85512
111.5,5.86295
112,5.8708
112,5.8708
112,5.8708
112.5,5.87867
113,5.88656
113,5.88656
113,5.88656
113.5,5.85512
114,5.824
114,5.824
114,5.824
114.5,5.77028
115,5.71747
115,5.71747
115,5.71747
115.5,5.64357
116,5.57142
116,5.57142
116,5.57142
116.5,5.51492
117,5.45946
117,5.45946
117,5.45946
117.5,5.45946
118,5.45946
118,5.45946
118,5.45946
118.5,5.45259
119,5.44575
119,5.44575
119,5.44575
119.5,5.26026
120,5.08584
120,5.08584
120,5.08584
120.5,5.0798
121,5.07378
121,5.07378
121,5.07378
121.5,5.06776
122,5.06176
122,5.06176
