,time,heat_prod
2652,26520.0,3.879998566025896
2653,26530.0,3.8799986933982074
2654,26540.0,3.879998809456712
2655,26550.0,3.879998915206355
2656,26560.0,3.8799990115628185
2657,26570.0,3.879999099360448
2658,26580.0,3.8799991793594804
2659,26590.0,3.879999252252624
2660,26600.0,3.879999318671056
2661,26610.0,3.879999379189891
2662,26620.0,3.8799994343331585
2663,26630.0,3.879999484578342
2664,26640.0,3.8799995303605135
2665,26650.0,3.8799995720760974
2666,26660.0,3.879999610086307
2667,26670.0,3.8799996447202716
2668,26680.0,3.8799996762778846
2669,26690.0,3.8799997050324024
2670,26700.0,3.879999731232809
2671,26710.0,3.8799997551059726
2672,26720.0,3.8799997768586088
2673,26730.0,3.879999796679075
2674,26740.0,3.8799998147389934
2675,26750.0,3.8799998311947466
2676,26760.0,3.879999846188821
2677,26770.0,3.8799998598510514
2678,26780.0,3.8799998722997393
2679,26790.0,3.8799998836426757
2680,26800.0,3.8799998939780793
2681,26810.0,3.8799999033954444
2682,26820.0,3.8799999119763147
2683,26830.0,3.8799999197949915
2684,26840.0,3.8799999269191767
2685,26850.0,3.8799999334105584
2686,26860.0,3.879999939325345
2687,26870.0,3.8799999447147533
2688,26880.0,3.8799999496254487
2689,26890.0,3.879999954099952
2690,26900.0,3.87999995817701
2691,26910.0,3.8799999618919245
2692,26920.0,3.8799999652768626
2693,26930.0,3.879999968361135
2694,26940.0,3.879999971171447
2695,26950.0,3.8799999737321347
2696,26960.0,3.8799999760653687
2697,26970.0,3.8799999781913552
2698,26980.0,3.8799999801285012
2699,26990.0,3.8799999818935818
2700,27000.0,3.879999983501879
2701,27010.0,3.879999984967319
2702,27020.0,3.8799999863025927
2703,27030.0,3.879999987519261
2704,27040.0,3.879999988627859
2705,27050.0,3.879999989637986
2706,27060.0,3.879999990558389
2707,27070.0,3.8799999913970376
2708,27080.0,3.8799999921611925
2709,27090.0,3.879999992857472
2710,27100.0,3.879999993491905
2711,27110.0,3.8799999940699847
2712,27120.0,3.8799999945967154
2713,27130.0,3.8799999950766613
2714,27140.0,3.879999995513975
2715,27150.0,3.8799999959124447
2716,27160.0,3.879999996275521
2717,27170.0,3.8799999966063465
2718,27180.0,3.8799999969077863
2719,27190.0,3.879999997182451
2720,27200.0,3.8799999974327197
2721,27210.0,3.8799999976607573
2722,27220.0,3.8799999978685396
2723,27230.0,3.8799999980578663
2724,27240.0,3.879999998230375
2725,27250.0,3.879999998387562
2726,27260.0,3.8799999985307854
2727,27270.0,3.879999998661289
